구분연월,구분연월_년,구분연월_월,구분연월_일,행태별 (개별여행),행태별(부분패키지),행태별(패키지),목적별(레저스포츠),목적별(회의및업무),목적별(휴양및관람),목적별(친지방문),목적별(교육여행),목적별(기타방문),데이터기준일자
2013-01-01,2013,1,1,528395,0,54715,114183,69680,351315,27186,10203,10543,2013-12-31
2013-02-01,2013,2,1,394387,138704,38830,98348,63133,343063,56569,1460,9348,2013-12-31
2013-03-01,2013,3,1,369833,136895,100532,105074,76729,362546,17305,34920,10686,2013-12-31
2013-04-01,2013,4,1,431357,170503,207134,108784,101087,463916,14394,111479,9334,2013-12-31
2013-05-01,2013,5,1,456881,156264,235587,132069,68796,482424,14763,141467,9213,2013-12-31
2013-06-01,2013,6,1,423331,175852,115564,122657,90145,432947,15366,45093,8539,2013-12-31
2013-07-01,2013,7,1,479550,173188,55822,90544,76640,504678,18217,9840,8641,2013-12-31
2013-08-01,2013,8,1,573770,150742,58438,78452,41087,627028,18276,9736,8371,2013-12-31
2013-09-01,2013,9,1,531335,95778,75412,41300,41131,494381,64023,38044,23646,2013-12-31
2013-10-01,2013,10,1,484181,164539,163230,137835,92011,480084,19083,73429,9508,2013-12-31
2013-11-01,2013,11,1,448670,159022,119151,166174,102916,410329,11729,26982,8713,2013-12-31
2013-12-01,2013,12,1,467795,112445,69585,110708,82765,425905,13449,6293,10705,2013-12-31
2014-01-01,2014,1,1,625757,0,73548,106302,61147,465043,51300,6148,9365,2014-12-31
2014-02-01,2014,2,1,456948,141963,57045,122664,70570,416401,35723,805,9793,2014-12-31
2014-03-01,2014,3,1,495059,123677,101961,120475,78902,451809,24256,35665,9590,2014-12-31
2014-04-01,2014,4,1,553170,166682,108445,125210,73678,532210,25773,60043,11383,2014-12-31
2014-05-01,2014,5,1,602520,89814,26711,109180,66528,512582,21622,100,9033,2014-12-31
2014-06-01,2014,6,1,580799,129316,32837,89156,63838,552146,27827,99,9886,2014-12-31
2014-07-01,2014,7,1,593036,111314,30670,67466,74630,565490,16444,312,10678,2014-12-31
2014-08-01,2014,8,1,621246,115355,3260,80641,36155,632004,12052,1610,6739,2014-12-31
2014-09-01,2014,9,1,575139,109440,68268,49716,51680,518467,98800,15068,19116,2014-12-31
2014-10-01,2014,10,1,682589,120417,77937,94680,161038,529631,42074,27159,26361,2014-12-31
2014-11-01,2014,11,1,573147,110110,79501,164972,148226,381716,23998,18799,25047,2014-12-31
2014-12-01,2014,12,1,533797,98698,46085,51725,131994,434068,34484,4465,21844,2014-12-31
2015-01-01,2015,1,1,624526,96124,72018,127063,75791,521304,55457,3621,9432,2015-12-31
2015-02-01,2015,2,1,595357,103768,22462,134718,72552,459032,43058,202,12025,2015-12-31
2015-03-01,2015,3,1,635832,110797,45085,143528,78294,490004,44581,20466,14841,2015-12-31
2015-04-01,2015,4,1,600794,221013,117518,146259,83467,623087,27927,44893,13662,2015-12-31
2015-05-01,2015,5,1,760163,134508,120668,179944,87166,628479,29779,71746,18225,2015-12-31
2015-06-01,2015,6,1,610193,114121,32073,76661,50916,581219,17557,16271,13763,2015-12-31
2015-07-01,2015,7,1,799435,157366,38571,90603,100920,764619,22237,2648,14345,2015-12-31
2015-08-01,2015,8,1,919417,159458,36248,117021,52321,914476,17440,3859,10006,2015-12-31
2015-09-01,2015,9,1,746589,137996,78567,58072,61332,372526,120474,25997,24751,2015-12-31
2015-10-01,2015,10,1,704976,211393,179883,141554,168641,662736,45129,46873,31319,2015-12-31
2015-11-01,2015,11,1,673215,191685,87623,208080,187279,484726,24236,17119,31083,2015-12-31
2015-12-01,2015,12,1,753937,111982,34804,62884,108871,656346,43549,3700,25373,2015-12-31
2016-01-01,2016,1,1,778483,73110,32873,133046,82858,604407,58489,1191,4475,2016-12-31
2016-02-01,2016,2,1,801774,72988,4946,128470,72990,619239,49444,238,9327,2016-12-31
2016-03-01,2016,3,1,741519,93703,85360,148991,84988,621087,37045,22165,6306,2016-12-31
2016-04-01,2016,4,1,803915,123369,139226,155853,87015,744891,26783,47344,4624,2016-12-31
2016-05-01,2016,5,1,838538,98030,159007,186134,89848,722003,28394,66431,2765,2016-12-31
2016-06-01,2016,6,1,920785,90269,54187,123254,58238,838651,20383,13420,11295,2016-12-31
2016-07-01,2016,7,1,953212,158111,32255,109282,107397,894984,23866,2422,5627,2016-12-31
2016-08-01,2016,8,1,952775,133319,30355,115154,49269,933247,11593,4272,2914,2016-12-31
2016-09-01,2016,9,1,830191,142755,55018,62085,65527,758247,109992,17574,14839,2016-12-31
2016-10-01,2016,10,1,884835,115386,110055,134321,150503,692378,47659,57379,28036,2016-12-31
2016-11-01,2016,11,1,818873,98010,73339,202203,141857,582907,30951,8858,23446,2016-12-31
2016-12-01,2016,12,1,828204,82199,38985,80724,82200,727366,44836,1621,12641,2016-12-31
2017-01-01,2017,1,1,894040,82672,28726,115326,69954,718621,98571,109,2857,2017-12-31
2017-02-01,2017,2,1,821245,78816,5760,103570,76002,675592,47853,130,2674,2017-12-31
2017-03-01,2017,3,1,805739,149467,45665,90054,91981,724341,66110,19797,8588,2017-12-31
2017-04-01,2017,4,1,950201,142755,121632,132865,95170,892918,29857,60635,3143,2017-12-31
2017-05-01,2017,5,1,929167,143207,146963,167295,90130,866575,32054,60053,3230,2017-12-31
2017-06-01,2017,6,1,1041106,97832,48450,123460,63591,953884,19566,14210,12677,2017-12-31
2017-07-01,2017,7,1,1016349,154012,20950,120423,102675,947766,15796,1205,3446,2017-12-31
2017-08-01,2017,8,1,1144262,73443,22684,130712,48962,1040438,12241,4323,3713,2017-12-31
2017-09-01,2017,9,1,960818,165187,60043,72000,75824,931546,73116,16715,16847,2017-12-31
2017-10-01,2017,10,1,966747,137072,125860,152179,134329,775827,93209,51842,22293,2017-12-31
2017-11-01,2017,11,1,905898,108449,83640,223950,156964,645007,34247,12292,25527,2017-12-31
2017-12-01,2017,12,1,869130,104006,70639,97218,95795,790990,46529,2214,11029,2017-12-31
2018-01-01,2018,1,1,931530,83664,29762,126413,78743,757889,75741,234,2936,2018-12-31
2018-02-01,2018,2,1,731347,130051,31465,103573,54538,681718,50344,0,2690,2018-12-31
2018-03-01,2018,3,1,833785,152597,47396,94279,97756,758206,54840,18785,9912,2018-12-31
2018-04-01,2018,4,1,716499,289775,218246,180153,175460,772325,28582,62892,5109,2018-12-31
2018-05-01,2018,5,1,815996,198131,191777,149737,52129,823440,41241,73417,65940,2018-12-31
2018-06-01,2018,6,1,935068,196771,46173,161547,54838,870959,77419,10689,2560,2018-12-31
2018-07-01,2018,7,1,922316,157426,43148,124283,61369,867169,64040,3123,2906,2018-12-31
2018-08-01,2018,8,1,1038643,78686,29427,136388,36720,949466,15737,3199,5246,2018-12-31
2018-09-01,2018,9,1,880738,152195,65658,64870,69860,858283,67365,25738,12475,2018-12-31
2018-10-01,2018,10,1,868257,123683,136307,136051,121210,700049,84105,69517,17315,2018-12-31
2018-11-01,2018,11,1,920287,74009,41735,131927,41832,769052,80445,12775,0,2018-12-31
2018-12-01,2018,12,1,799716,103493,73371,181896,21955,708768,37634,1237,25090,2018-12-31
2019-01-01,2019,1,1,916626,77686,29818,110536,24277,835112,46126,687,7392,2019-12-31
2019-02-01,2019,2,1,704981,199100,94809,114782,71107,760851,42665,0,9485,2019-12-31
2019-03-01,2019,3,1,837709,165242,35272,171844,85051,699855,60751,13402,7320,2019-12-31
2019-04-01,2019,4,1,908639,174689,75338,194187,89367,745744,68145,52616,8607,2019-12-31
2019-05-01,2019,5,1,884364,146160,145535,129034,50526,874526,30678,83508,7787,2019-12-31
2019-06-01,2019,6,1,914476,192687,47857,156384,53699,852915,75809,13114,3099,2019-12-31
2019-07-01,2019,7,1,924637,200162,32648,58971,63065,945970,76775,2486,10180,2019-12-31
2019-08-01,2019,8,1,1109760,84932,48440,149354,39634,1024831,16986,3144,9183,2019-12-31
2019-09-01,2019,9,1,834467,140645,57366,67494,64248,796500,68554,20301,15381,2019-12-31
2019-10-01,2019,10,1,1044280,121052,89087,193546,118238,729136,121053,60936,31510,2019-12-31
2019-11-01,2019,11,1,1027256,76482,74030,159208,45887,841307,89593,23770,18003,2019-12-31
2019-12-01,2019,12,1,1111007,23817,8948,83319,62792,930059,45471,2452,19679,2019-12-31
2020-01-01,2020,1,1,1028221,54338,21879,120890,40753,823210,105958,144,13483,2020-12-31
2020-02-01,2020,2,1,581380,15921,2274,30042,76200,408295,70514,0,14524,2020-12-31
2020-03-01,2020,3,1,468096,7945,1135,27280,54477,324593,56747,0,14079,2020-12-31
2020-04-01,2020,4,1,533225,5400,2474,28394,53859,381297,67017,0,10532,2020-12-31
2020-05-01,2020,5,1,750271,13458,1887,57543,57824,584612,55751,120,9766,2020-12-31
2020-06-01,2020,6,1,846253,8157,6118,27181,59140,681136,87691,0,5380,2020-12-31
2020-07-01,2020,7,1,968395,12874,6825,49742,68728,749450,109765,0,10409,2020-12-31
2020-08-01,2020,8,1,1077542,22866,26689,47232,45202,999753,26589,100,8221,2020-12-31
2020-09-01,2020,9,1,707026,13942,5201,52730,39936,547341,74683,0,11479,2020-12-31
2020-10-01,2020,10,1,1028256,24453,19746,140142,112996,704112,101296,0,13909,2020-12-31
2020-11-01,2020,11,1,1060958,18842,58569,145018,63142,827550,87984,82,14593,2020-12-31
2020-12-01,2020,12,1,605225,9259,8578,45276,52828,450468,52927,0,21563,2020-12-31
2021-01-01,2021,1,1,441595,21627,2450,66786,24075,296742,67606,0,10463,2021-12-31
2021-02-01,2021,2,1,778290,12422,0,62141,57452,588701,73437,0,8981,2021-12-31
2021-03-01,2021,3,1,849441,31129,8646,78458,93387,643293,55459,0,18619,2021-12-31
2021-04-01,2021,4,1,1034696,30652,13411,72673,65902,871832,55939,0,12413,2021-12-31
2021-05-01,2021,5,1,1106333,21629,4406,62320,55769,903956,106745,80,3498,2021-12-31
2021-06-01,2021,6,1,1118567,13446,2241,68387,60504,934448,62745,0,8170,2021-12-31
2021-07-01,2021,7,1,1101365,21266,4254,36274,73069,968782,32663,0,16097,2021-12-31
2021-08-01,2021,8,1,942540,21839,5439,43445,51875,848667,18128,0,7703,2021-12-31
2021-09-01,2021,9,1,846565,20806,0,74382,40312,556900,173601,0,22176,2021-12-31
2021-10-01,2021,10,1,953193,191222,73740,159009,203258,770962,76544,15,8367,2021-12-31
2021-11-01,2021,11,1,980793,134590,84664,114236,97990,884800,66931,703,35387,2021-12-31
2021-12-01,2021,12,1,862572,128164,96166,183629,110943,708458,54437,1077,28358,2021-12-31
2022-01-01,2022,1,1,1087784,57004,22113,191206,41967,842122,81868,0,9738,2023-02-24
2022-02-01,2022,2,1,902253,101161,22941,177948,36435,714909,91712,0,5351,2023-02-24
2022-03-01,2022,3,1,820281,40415,9132,74732,54215,617995,98248,0,24638,2023-02-24
2022-04-01,2022,4,1,1092748,32692,49329,102377,99160,843283,97450,761,31738,2023-02-24
2022-05-01,2022,5,1,1227670,40116,34177,94892,127819,918511,121753,5588,33400,2023-02-24
2022-06-01,2022,6,1,1188756,49863,39229,106281,81591,970029,99722,5233,14992,2023-02-24
2022-07-01,2022,7,1,1161250,62321,33274,93984,127469,940925,79347,4168,10952,2023-02-24
2022-08-01,2022,8,1,1147083,50347,76722,78134,107508,965567,105225,8311,9407,2023-02-24
2022-09-01,2022,9,1,917833,52202,81464,105463,132072,695645,83973,23146,11200,2023-02-24
2022-10-01,2022,10,1,1099375,45964,126194,107477,125821,879740,81672,55167,21656,2023-02-24
2022-11-01,2022,11,1,1016077,25903,93059,87837,96450,815262,88902,22424,24164,2023-02-24
2022-12-01,2022,12,1,840843,105412,50071,107880,46047,780725,50852,5453,5369,2023-02-24
2023-01-01,2023,1,1,888163,96666,31887,134250,26571,731513,120325,636,3421,2024-02-13
2023-02-01,2023,2,1,933333,66542,41495,117148,37389,818184,66979,170,1500,2024-02-13
2023-03-01,2023,3,1,907945,79159,52679,120575,25007,800001,72202,13469,8529,2024-02-13
2023-04-01,2023,4,1,982438,61546,71678,155421,32886,812356,82953,26460,5586,2024-02-13
2023-05-01,2023,5,1,921503,90538,118974,167500,34732,767582,75716,83153,2332,2024-02-13
2023-06-01,2023,6,1,999652,53786,38723,137525,34423,806897,96816,12906,3594,2024-02-13
2023-07-01,2023,7,1,944573,70316,31753,105864,32243,845223,55701,4408,3203,2024-02-13
2023-08-01,2023,8,1,1009487,48119,36771,135757,42567,825493,78847,7218,4495,2024-02-13
2023-09-01,2023,9,1,917711,51852,63018,147827,50924,695373,108329,28767,1361,2024-02-13
2023-10-01,2023,10,1,957326,45946,98727,125930,44035,795155,55893,77665,3321,2024-02-13
2023-11-01,2023,11,1,910535,64122,30241,147951,33436,732732,69268,20159,1352,2024-02-13
2023-12-01,2023,12,1,899260,38027,6688,95887,35166,733733,73922,2033,3234,2024-02-13
